title,pages_per_day,rating
Across the Wide and Lonesome Prairie,88.0,4
Voyage on the Great Titanic,88.0,2
The Four Winds,464.0,5
A Picture of Freedom,88.0,3
Standing in the Light,176.0,2
The Tattooist of Auschwitz,96.0,5
Cilka's Journey,144.0,4
Three Sisters,104.0,4
The Things We Cannot Say,144.0,5
A Journey to the New World,58.7,3
Cannons at Dawn,58.7,2
I Walk in Dread,58.7,1
The Winter of Red Snow,58.7,3
A Light in the Storm,28.8,3
When Will This Cruel War Be Over?,35.2,2
A City Tossed and Broken,45.7,3
Behind the Masks,29.7,3
Down the Rabbit Hole,32.0,3
Like the Willow Tree,34.3,2
The Fences Between Us,32.0,3
I Thought My Soul Would Rise and Fly,48.0,3
The Daughter of Auschwitz,160.0,4
With the Might of Angels,69.3,3
The Warsaw Orphan,200.0,4
Christmas After All,101.3,3
Chasing Fireflies,112.0,4
Truths I Never Told You,176.0,4
Hear My Sorrow,368.0,3
The German Wife,86.4,4
The Librarian of Burned Books,50.0,4
Bridge of Scarlet Leaves,144.0,4
Before the Storm,48.0,3
All the Broken Places,133.3,5
Spare,34.7,4
The Woman with the Cure,36.0,5
The Edge of Lost,192.0,3
The Book Woman's Daughter,17.7,3
The Book of Lost Names,41.6,4
The Queen,46.2,4
Children of the Stars,67.2,4
Auschwitz Lullaby,26.7,4
Remember Me,352.0,3
Renia's Diary,83.2,2
My Dear Hamilton,168.0,5
Becoming Free Indeed,12.6,3
"Are You There God? It's Me, Margaret",80.0,4
Educated,23.5,5
Beneath a Starless Sky,37.8,4
The Real Simple Method to Organize Every Room,28.8,2
The Sound of Gravel,176.0,5
Things We Didn't Say,192.0,4
Once We Were Home,88.0,4
Stars in an Italian Sky,168.0,4
Lost Souls of Leningrad,122.7,4
The Ghetto Within,120.0,3
A Child for the Reich,13.8,3
Counting the Cost,13.1,4
River Sing Me Home,8.6,4
The Ballad of Songbirds and Snakes,35.2,4
The Baby Sleep Solution,10.9,1
How to Keep House While Drowning,7.3,2
Cribsheet,16.0,2
Angels of the Resistance,18.9,3
Buffalo Flats,53.3,3
We Were the Lucky Ones,132.0,5
The Ghost Keeper,176.0,3
The Forgotten Names,16.0,4
The Handmaid's Tale,14.6,3
ADHD is Awesome,8.5,4
Organizing Solutions for People with ADHD - Revised and Updated,16.0,3
Declutter Like a Mother,74.7,2
The Paper Solution,96.0,2
Decluttering at the Speed of Life,60.0,4
Sunrise on the Reaping,19.0,5
The Testaments,19.6,3
The Worst Hard Time,25.1,4
Turtles All the Way Down,13.8,4
The House of My Mother,38.9,5
The Lost Wife,112.0,3
The Last Carolina Girl,50.3,3
The Women,36.9,5
The Lost Passenger,32.0,4
The Santa Claus Girl,48.0,3
A Tiny Piece of Blue,50.7,3
Traces,17.8,3
The Home Edit,32.0,3
Everything is Tuberculosis,9.5,4
Organizing for the Rest of Us,14.0,4
"Making Space, Clutter Free",12.6,3
The Home Edit: Stay Organized,23.3,3
How to Manage Your Home Without Losing Your Mind,14.0,4
In the Family Way,28.3,4
The Home Edit Life,64.0,3
The Great Alone,20.4,5
Winter Garden,98.5,5
True Colors,43.7,2
Home Front,78.0,3
A Well-Trained Wife: My Escape from Christian Patriarchy,60.8,4
"Separation of Church and Hate: A Sane Person's Guide to Taking Back the Bible from Fundamentalists, Fascists, and Flock-Fleecing Frauds",23.4,3
Prairie Fires: The American Dreams of Laura Ingalls Wilder,54.5,4
Pioneer Girl: The Annotated Autobiography,28.6,4
Little House in the Big Woods,79.3,4
Farmer Boy,53.0,4
Little House on the Prairie,50.3,4
On the Banks of Plum Creek,56.5,3
By the Shores of Silver Lake,58.0,3
Fly Away,83.2,5
The Long Winter,58.7,3
Little Town on the Prairie,80.0,4
These Happy Golden Years,60.8,4
The Great Alone,48.9,5
"Call the Midwife: A Memoir of Birth, Joy, and Hard Times",32.0,5
The Four Winds,45.4,5
The Giver of Stars,55.7,4
The Kite Runner,46.4,5
The Wonderful Wizard of Oz,51.3,2
