TITLE,AUTHOR,GENRE,MOOD / VIBE,SOURCE,FORMAT,STATUS,REREAD,SERIES,BOOK #,PAGES,PUB YEAR,RATING,START DATE,FINISH DATE,YEAR READ,DAYS READ,PAGES/DAY,NOTES
Across the Wide and Lonesome Prairie,Kristiana Gregory,Middle Grade,"Adventure, Reflective, Character Driven",Libby App,Ebook,Completed,FALSE,Dear America,,176,1997,★★★★☆,1/17/2023,1/18/2023,2023,2,88,
Voyage on the Great Titanic,Ellen Emerson White,Middle Grade,"Adventure, Atmospheric, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,176,1998,★★☆☆☆,1/19/2023,1/20/2023,2023,2,88,
The Four Winds,Kristin Hannah,Historical Fiction,"Emotional Damage, Character Driven, Atmospheric",Libby App,Ebook,Completed,FALSE,,,464,2021,★★★★★,1/20/2023,1/20/2023,2023,1,464,
A Picture of Freedom,"Kathryn Lasky, Patricia C. McKissack",Middle Grade,"Inspirational, Reflective, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,176,1997,★★★☆☆,1/30/2023,1/31/2023,2023,2,88,
Standing in the Light,Mary Pope Osborne,Middle Grade,"Character Driven, Inspirational, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,176,2003,★★☆☆☆,2/1/2023,2/1/2023,2023,1,176,
The Tattooist of Auschwitz,Heather Morris,Historical Fiction,"Emotional Damage, Intense, Character Driven",Libby App,Ebook,Completed,FALSE,The Tattooist of Auschwitz,1,288,2018,★★★★★,2/1/2023,2/3/2023,2023,3,96,
Cilka's Journey,Heather Morris,Historical Fiction,"Emotional Damage, Dark, Reflective",Libby App,Ebook,Completed,FALSE,The Tattooist of Auschwitz,2,432,2019,★★★★☆,2/4/2023,2/6/2023,2023,3,144,
Three Sisters,Heather Morris,Historical Fiction,"Emotional Damage, Intense, Reflective",Libby App,Ebook,Completed,FALSE,The Tattooist of Auschwitz,3,416,2021,★★★★☆,2/6/2023,2/9/2023,2023,4,104,
The Things We Cannot Say,Kelly Rimmer,Historical Fiction,"Emotional Damage, Bittersweet, Character Driven",Libby App,Ebook,Completed,FALSE,,,432,2019,★★★★★,2/8/2023,2/10/2023,2023,3,144,
A Journey to the New World,Kathryn Lasky,Middle Grade,"Adventure, Reflective, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,176,2004,★★★☆☆,2/9/2023,2/11/2023,2023,3,58.7,
Cannons at Dawn,Kristiana Gregory,Middle Grade,"Intense, Adventure, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,176,2001,★★☆☆☆,2/9/2023,2/11/2023,2023,3,58.7,
I Walk in Dread,Lisa Rowe Fraustino,Middle Grade,"Reflective, Character Driven, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,176,2004,★☆☆☆☆,2/9/2023,2/11/2023,2023,3,58.7,
The Winter of Red Snow,Kristiana Gregory,Middle Grade,"Emotional Damage, Intense, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,176,1996,★★★☆☆,2/9/2023,2/11/2023,2023,3,58.7,
A Light in the Storm,Karen Hesse,Middle Grade,"Inspirational, Character Driven, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,144,2005,★★★☆☆,2/9/2023,2/13/2023,2023,5,28.8,
When Will This Cruel War Be Over?,Barry Denenberg,Middle Grade,"Emotional Damage, Reflective, Nostalgic",Libby App,Ebook,Completed,FALSE,Dear America,,176,1999,★★☆☆☆,2/9/2023,2/13/2023,2023,5,35.2,
A City Tossed and Broken,Judy Blundell,Middle Grade,"Atmospheric, Reflective, Emotional Damage",Libby App,Ebook,Completed,FALSE,,,320,2016,★★★☆☆,2/9/2023,2/15/2023,2023,7,45.7,
Behind the Masks,Susan Patron,Middle Grade,"Character Driven, Reflective",Libby App,Ebook,Completed,FALSE,,,208,2006,★★★☆☆,2/9/2023,2/15/2023,2023,7,29.7,
